"Id","month_year","sp500_index","cpi_index","inflation_rate"
263,"11/2011",1246.96,226.859,2.15
264,"12/2011",1257.6,226.74,2.23
265,"01/2012",1312.41,227.237,2.28
266,"02/2012",1365.68,227.865,2.18
267,"03/2012",1408.47,228.735,2.26
268,"04/2012",1397.91,229.303,2.31
269,"05/2012",1310.33,229.602,2.26
270,"06/2012",1362.16,229.879,2.25
271,"07/2012",1379.32,229.893,2.1
272,"08/2012",1406.58,230.196,1.91
273,"09/2012",1440.67,230.78,1.98
274,"10/2012",1412.16,231.276,2.0
275,"11/2012",1416.18,231.263,1.94
276,"12/2012",1426.19,231.033,1.89
277,"01/2013",1498.11,231.612,1.93
278,"02/2013",1514.68,232.432,2.0
279,"03/2013",1569.19,233.052,1.89
280,"04/2013",1597.57,233.236,1.72
281,"05/2013",1630.74,233.462,1.68
282,"06/2013",1606.28,233.64,1.66
283,"07/2013",1685.73,233.792,1.7
284,"08/2013",1632.97,234.258,1.76
285,"09/2013",1681.55,234.782,1.73
286,"10/2013",1756.54,235.162,1.68
287,"11/2013",1805.81,235.243,1.72
288,"12/2013",1848.36,235.0,1.72
289,"01/2014",1782.59,235.367,1.62
290,"02/2014",1859.45,236.075,1.57
291,"03/2014",1872.34,236.913,1.66
292,"04/2014",1883.95,237.509,1.83
293,"05/2014",1923.57,238.029,1.96
294,"06/2014",1960.23,238.157,1.95
295,"07/2014",1930.67,238.138,1.86
296,"08/2014",2003.37,238.296,1.72
297,"09/2014",1972.29,238.841,1.73
298,"10/2014",2018.05,239.413,1.81
299,"11/2014",2067.56,239.248,1.7
300,"12/2014",2058.9,238.775,1.61
301,"01/2015",1994.99,239.248,1.65
302,"02/2015",2104.5,240.083,1.7
303,"03/2015",2067.89,241.067,1.75
304,"04/2015",2085.51,241.802,1.81
305,"05/2015",2107.39,242.119,1.72
306,"06/2015",2063.11,242.354,1.78
307,"07/2015",2103.84,242.436,1.8
308,"08/2015",1972.18,242.651,1.83
309,"09/2015",1920.03,243.359,1.89
310,"10/2015",2079.36,243.985,1.91
311,"11/2015",2080.41,244.075,2.02
312,"12/2015",2043.94,243.779,2.1
313,"01/2016",1940.24,244.528,2.21
314,"02/2016",1932.23,245.68,2.33
315,"03/2016",2059.74,246.358,2.19
316,"04/2016",2065.3,246.992,2.15
317,"05/2016",2096.96,247.544,2.24
318,"06/2016",2098.86,247.794,2.27
319,"07/2016",2173.6,247.744,2.19
320,"08/2016",2170.95,248.278,2.32
321,"09/2016",2168.27,248.731,2.21
322,"10/2016",2126.15,249.218,2.14
323,"11/2016",2198.81,249.227,2.11
324,"12/2016",2238.83,249.134,2.2
325,"01/2017",2278.87,250.083,2.27
